493552,DB,BANK,0.23,0,-0.07,0.65,0.14,0.74,0.1,1,8,4
493554,GOOG,TECH,0.28,26.74,22.75,6.3,21.59,4.77,14.08,12,5,1
493555,FB,TECH,0.32,70.43,1.62,16.56,24.75,13.16,11.36,0,-5,4
493556,PEP,FMCG,0.13,15.11,4.26,1.52,10.04,1.24,29.55,16,-19,3
493557,GM,AUTO,0.25,14.67,1.83,0.29,1.94,1.25,7.46,4,-19,4
493558,AXP,BANK,0.19,15.99,5.06,2.5,15.63,2.15,28.18,3,-9,3
493560,KO,FMCG,0.15,21.82,1.59,3.36,15.43,1.02,21.6,7,-8,3
493561,F,AUTO,0.22,14.54,0.78,0.32,0.85,6.58,4.72,13,1,4
493562,DB,BANK,0.28,50.74,0.89,0.81,1.56,0.73,1.19,10,-8,4
493563,GM,AUTO,0.26,5.08,6,0.32,6.32,0.9,21.62,5,-16,4
493564,OR,FMCG,0.29,0,-0.17,8.56,-20.12,12.24,-2.73,11,-16,4
493565,FB,TECH,0.24,87.52,0.98,16.11,18.59,9.01,8.11,11,0,4
493566,COST,RETAIL,0.21,27.69,6.82,0.6,2.16,1.02,25.65,18,-11,4
493567,KSS,RETAIL,0.43,9.65,3.43,0.3,3.06,1.72,11.81,14,-15,4
493568,HOG,AUTO,0.23,14.11,3.44,1.53,10.72,1.27,30.49,5,-1,1
493569,TSLA,AUTO,0.37,0,-2.79,3.56,-18.77,0.74,-41.54,4,-5,4
493570,GOOG,TECH,0.29,33.11,22.92,7.53,21.1,4.67,13.86,9,4,4
493571,TGT,RETAIL,0.18,16.91,2.96,0.45,2.65,0.92,11.66,7,-9,4
493572,HMC,AUTO,0.16,6.04,5.28,0.41,6.9,1.23,13.12,15,19,2
493573,KSS,RETAIL,0.31,9.75,3.75,0.38,3.89,1.54,12.87,16,15,4
493575,M,RETAIL,0.22,11.07,4.27,0.61,5.43,1.69,26.97,18,1,4
493576,M,RETAIL,0.22,11.36,4.23,0.61,5.33,1.65,27.5,15,16,4
493577,TSLA,AUTO,0.45,0,-3.22,4.22,-19.9,0.73,-51.74,18,8,4
493578,WMT,RETAIL,0.24,13.29,4.52,0.4,2.99,0.84,17.7,1,-15,4
493580,TSLA,AUTO,0.38,0,-0.64,6.7,-11.34,1.33,-43.75,2,4,4
